date,AAPL
10/13/2011,3.76E-02
10/14/2011,7.09E-02
10/17/2011,6.44E-02
10/18/2011,6.91E-02
10/19/2011,7.97E-03
10/20/2011,2.27E-05
10/21/2011,-4.96E-03
10/24/2011,2.91E-02
10/25/2011,7.96E-03
10/26/2011,1.50E-02
10/27/2011,2.40E-02
10/28/2011,2.15E-02
10/31/2011,1.70E-02
11/1/2011,-8.04E-03
11/2/2011,-8.17E-03
11/3/2011,3.32E-03
11/4/2011,-8.05E-03
11/7/2011,-1.08E-02
11/8/2011,5.37E-03
11/9/2011,-2.23E-02
11/10/2011,-4.55E-02
11/11/2011,-4.24E-02
11/14/2011,-5.13E-02
11/15/2011,-2.19E-02
11/16/2011,-3.08E-02
11/17/2011,-4.80E-02
11/18/2011,-5.23E-02
11/21/2011,-6.35E-02
11/22/2011,-4.08E-02
11/23/2011,-6.20E-02
11/25/2011,-6.60E-02
11/28/2011,-2.83E-02
11/29/2011,-3.21E-02
11/30/2011,-5.56E-03
12/1/2011,1.15E-02
12/2/2011,1.82E-02
12/5/2011,2.83E-02
12/6/2011,2.39E-02
12/7/2011,2.12E-02
12/8/2011,2.62E-02
12/9/2011,3.32E-02
12/12/2011,2.72E-02
12/13/2011,1.75E-02
12/14/2011,-5.06E-03
12/15/2011,-7.70E-03
12/16/2011,-2.47E-03
12/19/2011,-1.89E-04
12/20/2011,3.39E-02
12/21/2011,3.24E-02
12/22/2011,3.37E-02
12/23/2011,4.11E-02
12/27/2011,4.55E-02
12/28/2011,3.09E-02
12/29/2011,3.44E-02
12/30/2011,3.17E-02
1/3/2012,4.54E-02
1/4/2012,4.85E-02
1/5/2012,5.70E-02
1/6/2012,6.39E-02
1/9/2012,5.78E-02
1/10/2012,5.76E-02
1/11/2012,5.16E-02
1/12/2012,4.41E-02
1/13/2012,3.46E-02
1/17/2012,4.11E-02
1/18/2012,4.60E-02
1/19/2012,3.65E-02
1/20/2012,1.43E-02
1/23/2012,2.84E-02
1/24/2012,7.83E-03
1/25/2012,6.85E-02
1/26/2012,5.83E-02
1/27/2012,5.90E-02
1/30/2012,6.70E-02
1/31/2012,6.88E-02
2/1/2012,6.22E-02
2/2/2012,5.42E-02
2/3/2012,5.99E-02
2/6/2012,6.50E-02
2/7/2012,7.07E-02
2/8/2012,8.27E-02
2/9/2012,1.13E-01
2/10/2012,1.04E-01
2/13/2012,1.15E-01
2/14/2012,1.20E-01
2/15/2012,8.40E-02
2/16/2012,8.52E-02
2/17/2012,7.50E-02
2/21/2012,9.30E-02
2/22/2012,7.78E-02
2/23/2012,7.69E-02
2/24/2012,8.10E-02
2/27/2012,7.91E-02
2/28/2012,9.03E-02
2/29/2012,9.54E-02
3/1/2012,8.95E-02
3/2/2012,8.07E-02
3/5/2012,4.76E-02
3/6/2012,3.45E-02
3/7/2012,2.88E-02
3/8/2012,4.50E-02
3/9/2012,4.59E-02
3/12/2012,5.35E-02
3/13/2012,7.89E-02
3/14/2012,1.13E-01
3/15/2012,9.56E-02
3/16/2012,8.67E-02
3/19/2012,1.07E-01
3/20/2012,1.06E-01
3/21/2012,9.01E-02
3/22/2012,7.56E-02
3/23/2012,6.20E-02
3/26/2012,7.44E-02
3/27/2012,8.04E-02
3/28/2012,7.88E-02
3/29/2012,5.81E-02
3/30/2012,3.41E-02
4/2/2012,6.06E-02
4/3/2012,7.04E-02
4/4/2012,5.26E-02
4/5/2012,6.06E-02
4/9/2012,5.67E-02
4/10/2012,3.61E-02
4/11/2012,2.70E-02
4/12/2012,1.82E-02
4/13/2012,-1.37E-02
4/16/2012,-5.62E-02
4/17/2012,-6.26E-03
4/18/2012,-8.80E-03
4/19/2012,-4.33E-02
4/20/2012,-6.59E-02
4/23/2012,-6.62E-02
4/24/2012,-8.20E-02
4/25/2012,4.12E-03
4/26/2012,9.98E-04
4/27/2012,-6.56E-03
4/30/2012,-3.82E-02
5/1/2012,-3.83E-02
5/2/2012,-2.80E-02
5/3/2012,-3.17E-02
5/4/2012,-5.49E-02
5/7/2012,-4.19E-02
5/8/2012,-3.91E-02
5/9/2012,-3.24E-02
5/10/2012,-2.54E-02
5/11/2012,-2.89E-02
5/14/2012,-4.23E-02
5/15/2012,-4.65E-02
5/16/2012,-5.40E-02
5/17/2012,-7.82E-02
5/18/2012,-7.41E-02
5/21/2012,-1.64E-02
5/22/2012,-2.41E-02
5/23/2012,4.68E-03
5/24/2012,-1.11E-03
5/25/2012,-2.97E-03
