date,EBAY,YHOO
8/5/2011,29.3,11.74
8/8/2011,26.95,11.09
8/9/2011,30.16,12.09
8/10/2011,29.15,11.77
8/11/2011,30.2,12.86
8/12/2011,30.53,13.59
8/15/2011,30.89,13.47
8/16/2011,30.36,13.48
8/17/2011,30.25,13.47
8/18/2011,27.94,12.96
8/19/2011,27.16,12.92
8/22/2011,27.36,12.84
8/23/2011,28.92,13.35
8/24/2011,29.05,13.15
8/25/2011,28.33,12.87
8/26/2011,29.46,12.74
8/29/2011,30.49,13.68
8/30/2011,30.95,13.84
8/31/2011,30.87,13.61
9/1/2011,30.39,13.35
9/2/2011,29.41,12.87
9/6/2011,29.27,12.91
9/7/2011,29.75,13.61
9/8/2011,30.51,14.44
9/9/2011,28.46,14.48
9/12/2011,29.42,14.26
9/13/2011,29.4,14.26
9/14/2011,30.14,14.55
9/15/2011,32.04,14.89
9/16/2011,33.69,14.97
9/19/2011,33.1,14.61
9/20/2011,32.73,14.36
9/21/2011,32.24,13.96
9/22/2011,31.67,13.99
9/23/2011,32.08,14.71
9/26/2011,32.55,14.75
9/27/2011,32.52,14.54
9/28/2011,31.64,14.19
9/29/2011,30.67,13.42
9/30/2011,29.49,13.17
10/3/2011,28.11,13.53
10/4/2011,29.35,14.46
10/5/2011,30.53,15.92
10/6/2011,31.44,15.65
10/7/2011,31.07,15.47
10/10/2011,32.3,15.84
10/11/2011,32.83,15.86
10/12/2011,32.75,15.77
10/13/2011,32.74,15.93
10/14/2011,33.69,15.91
10/17/2011,33.22,15.7
10/18/2011,33.87,15.47
10/19/2011,33.18,15.94
10/20/2011,32.15,16.18
10/21/2011,32.12,16.12
10/24/2011,32.37,16.71
10/25/2011,31.67,16.24
10/26/2011,31.08,16.3
10/27/2011,32.29,16.63
10/28/2011,33.25,16.56
10/31/2011,31.83,15.64
11/1/2011,30.89,14.93
11/2/2011,31.78,15.1
11/3/2011,33.05,15.48
11/4/2011,32.71,15.24
11/7/2011,32.47,15.69
11/8/2011,32.92,15.97
11/9/2011,31.18,15.92
11/10/2011,30.75,15.95
11/11/2011,31.76,16.27
11/14/2011,31.41,16
11/15/2011,31.45,15.93
11/16/2011,30.54,15.72
11/17/2011,29.65,15.34
11/18/2011,29.81,15.38
11/21/2011,28.75,14.99
11/22/2011,29.04,14.97
11/23/2011,28.55,14.94
11/25/2011,28.23,15.1
11/28/2011,29.66,15.35
11/29/2011,28.75,15.7
11/30/2011,29.59,15.71
12/1/2011,29.68,16.23
12/2/2011,29.6,16.05
12/5/2011,30.7,15.89
12/6/2011,30.9,15.84
12/7/2011,30.94,15.62
12/8/2011,31.03,15.61
12/9/2011,31.64,15.94
12/12/2011,31.13,15.47
12/13/2011,30.84,15.42
12/14/2011,30.27,15.02
12/15/2011,29.6,15.16
12/16/2011,30.4,14.96
12/19/2011,29.77,14.62
12/20/2011,30.63,15.11
12/21/2011,30.34,15.99
12/22/2011,30.61,16
12/23/2011,30.84,16.19
12/27/2011,30.92,16.09
12/28/2011,30.41,15.78
12/29/2011,30.36,16.13
12/30/2011,30.33,16.13
1/3/2012,31.34,16.29
1/4/2012,30.16,15.78
1/5/2012,30.71,15.64
1/6/2012,30.63,15.52
1/9/2012,30.51,15.46
1/10/2012,31.2,15.51
1/11/2012,31.52,15.53
1/12/2012,31.58,15.66
1/13/2012,30.62,15.48
1/17/2012,30.53,15.43
1/18/2012,30.34,15.92
1/19/2012,31.51,16.12
1/20/2012,31.93,15.96
1/23/2012,31.99,15.68
1/24/2012,31.95,15.69
1/25/2012,31.94,15.56
1/26/2012,31.71,15.53
1/27/2012,31.85,15.74
1/30/2012,31.58,15.55
1/31/2012,31.6,15.47
2/1/2012,32.2,15.73
2/2/2012,32.7,15.72
2/3/2012,32.95,15.92
2/6/2012,32.64,15.82
2/7/2012,32.87,15.83
2/8/2012,33.05,15.78
2/9/2012,33.26,16
2/10/2012,33.03,16.14
2/13/2012,33.16,16.12
2/14/2012,32.96,15.37
2/15/2012,33.31,15.12
2/16/2012,34.51,15.36
2/17/2012,35.06,15.01
2/21/2012,35.14,14.75
2/22/2012,34.67,14.5
2/23/2012,36.02,14.78
2/24/2012,36.36,14.89
2/27/2012,36.56,14.86
2/28/2012,36.62,14.9
2/29/2012,35.74,14.83
3/1/2012,36.37,14.93
3/2/2012,36.25,14.72
3/5/2012,35.72,14.62
3/6/2012,35.11,14.42
3/7/2012,35.59,14.62
3/8/2012,35.78,14.62
3/9/2012,36.25,14.63
3/12/2012,36.18,14.49
3/13/2012,37.33,14.55
3/14/2012,37.62,14.63
3/15/2012,36.83,14.89
3/16/2012,37.69,15.18
3/19/2012,37.79,15.15
3/20/2012,37.39,15.41
3/21/2012,37.42,15.51
3/22/2012,37.62,15.49
3/23/2012,37.09,15.39
3/26/2012,38.08,15.54
3/27/2012,37.87,15.43
3/28/2012,37.24,15.32
3/29/2012,36.99,15.3
3/30/2012,36.9,15.22
4/2/2012,36.59,15.46
4/3/2012,36.63,15.18
4/4/2012,35.73,15.27
4/5/2012,35.62,15.07
4/9/2012,36.3,15.1
4/10/2012,35.47,14.99
4/11/2012,35.76,14.88
4/12/2012,36.46,15.06
4/13/2012,36.12,14.87
4/16/2012,35.5,14.79
4/17/2012,36.08,15.01
4/18/2012,35.87,15.49
4/19/2012,40.62,15.4
4/20/2012,40.29,15.6
4/23/2012,39.65,15.33
4/24/2012,39.3,15.43
4/25/2012,39.86,15.5
4/26/2012,41.05,15.53
4/27/2012,41.23,15.57
4/30/2012,41.02,15.54
5/1/2012,40.75,15.63
5/2/2012,41.16,15.67
5/3/2012,40.38,15.4
5/4/2012,39.44,15.15
5/7/2012,40.07,15.35
5/8/2012,40.19,15.36
5/9/2012,40.56,15.3
5/10/2012,41.21,15.44
5/11/2012,40.74,15.19
5/14/2012,40.25,15.5
5/15/2012,40.05,15.4
5/16/2012,39.86,15.28
5/17/2012,39.03,14.87
5/18/2012,38.36,15.42
5/21/2012,39.51,15.58
5/22/2012,39.22,15.29
5/23/2012,39.68,15.38
5/24/2012,39.66,15.35
5/25/2012,40.35,15.36
5/29/2012,41.49,15.47
5/30/2012,39.59,15.25
5/31/2012,39.19,15.24
6/1/2012,38.82,14.92
6/4/2012,39.16,15.01
6/5/2012,39.76,15.1
6/6/2012,40.94,15.36
6/7/2012,40.9,15.36
6/8/2012,41.05,15.65
6/11/2012,40.93,15.3
6/12/2012,40.91,15.47
6/13/2012,40.17,15.34
6/14/2012,40.13,15.36
6/15/2012,40.67,15.36
6/18/2012,42.49,15.49
6/19/2012,43.5,15.65
6/20/2012,42.95,15.74
6/21/2012,41.83,15.52
6/22/2012,42.8,15.61
6/25/2012,41.81,15.44
6/26/2012,42.5,15.35
6/27/2012,42.29,15.52
6/28/2012,40.78,15.45
6/29/2012,42.01,15.83
7/2/2012,41.22,15.84
7/3/2012,41.2,15.98
7/5/2012,40.93,15.85
7/6/2012,40.41,15.78
7/9/2012,40.68,15.75
7/10/2012,39.68,15.82
7/11/2012,39.13,15.8
7/12/2012,39.31,15.69
7/13/2012,39.95,15.74
7/16/2012,38.6,15.65
7/17/2012,39.07,15.6
7/18/2012,40.46,15.7
7/19/2012,43.95,15.73
7/20/2012,44.85,15.92
7/23/2012,44.24,15.76
7/24/2012,43.52,15.43
7/25/2012,43.19,15.5
7/26/2012,43.79,15.8
7/27/2012,45.22,16.11
7/30/2012,45.6,15.98
7/31/2012,44.3,15.84
8/1/2012,43.89,15.99
8/2/2012,43.77,15.75
8/3/2012,44.5,15.97
8/6/2012,44.77,16.04
8/7/2012,45.61,16.22
8/8/2012,44.94,16.17
8/9/2012,44.27,16.01
8/10/2012,43.99,15.15
8/13/2012,45.32,15.02
8/14/2012,45.36,14.73
8/15/2012,44.98,14.76
8/16/2012,45.79,14.99
8/17/2012,46.87,15.03
8/20/2012,46.4,14.96
8/21/2012,45.85,14.97
8/22/2012,47,14.92
8/23/2012,46.81,14.87
8/24/2012,47.1,14.92
8/27/2012,46.98,14.85
8/28/2012,46.94,14.72
8/29/2012,47.49,14.84
8/30/2012,46.55,14.67
8/31/2012,47.47,14.65
9/4/2012,47.36,14.89
9/5/2012,47.16,15.09
9/6/2012,48.91,15.11
9/7/2012,49.24,15.22
9/10/2012,48.53,15.11
9/11/2012,48.33,15.16
9/12/2012,47.99,15.4
9/13/2012,48.88,15.6
9/14/2012,49.97,15.77
9/17/2012,50.48,15.68
9/18/2012,49.96,15.91
9/19/2012,50.39,15.86
9/20/2012,50.08,15.79
9/21/2012,49.47,15.74
9/24/2012,49.31,16
9/25/2012,48.03,15.68
9/26/2012,47.54,15.61
9/27/2012,49.12,16.04
9/28/2012,48.37,15.98
10/1/2012,48.23,15.83
10/2/2012,48.4,15.94
10/3/2012,48.59,16.21
10/4/2012,49.49,16.27
10/5/2012,48.73,16.09
10/8/2012,47.92,16.03
10/9/2012,46.22,15.85
10/10/2012,46.76,15.83
10/11/2012,47.49,15.92
10/12/2012,47.85,15.88
10/15/2012,47.4,15.68
10/16/2012,48.24,15.92
10/17/2012,48.2,16.09
10/18/2012,50.83,16
10/19/2012,49.97,15.84
10/22/2012,50.15,15.77
10/23/2012,49.35,16.67
10/24/2012,48.88,16.55
10/25/2012,48.34,16.61
10/26/2012,49.51,16.79
10/31/2012,48.26,16.84
11/1/2012,49.22,16.95
11/2/2012,48.69,17.11
11/5/2012,49.35,17.37
11/6/2012,49.49,17.46
11/7/2012,48.4,17.39
11/8/2012,47.87,17.24
11/9/2012,47.73,17.26
11/12/2012,47.47,17.51
11/13/2012,47.74,17.85
11/14/2012,46.47,17.83
11/15/2012,46.52,17.89
11/16/2012,47.26,17.86
11/19/2012,47.92,18.36
11/20/2012,48.26,18.24
11/21/2012,48.63,18.4
11/23/2012,49.01,18.57
11/26/2012,51.4,18.76
11/27/2012,51.15,18.93
11/28/2012,51.47,18.91
11/29/2012,52.2,18.87
11/30/2012,52.82,18.77
12/3/2012,52.04,18.55
12/4/2012,51.99,18.93
12/5/2012,52.02,18.89
12/6/2012,51.99,19.2
12/7/2012,51.74,19.2
12/10/2012,51.17,19.43
12/11/2012,51.99,19.52
12/12/2012,51.86,19.38
12/13/2012,51.02,19.35
12/14/2012,50.36,19.64
12/17/2012,51.31,19.69
12/18/2012,51.91,19.62
12/19/2012,51.34,19.6
12/20/2012,52.14,19.69
12/21/2012,51.35,19.35
12/24/2012,51.08,19.65
12/26/2012,50.24,19.57
12/27/2012,50.29,19.6
12/28/2012,49.81,19.5
12/31/2012,51,19.9
1/2/2013,53.59,20.08
1/3/2013,52.45,19.78
1/4/2013,52.78,19.86
1/7/2013,53.51,19.4
1/8/2013,52.68,19.66
1/9/2013,52.76,19.32
1/10/2013,53,18.99
1/11/2013,53.7,19.29
1/14/2013,53.18,19.43
1/15/2013,52.51,19.52
1/16/2013,52.9,20.07
1/17/2013,54.17,20.13
1/18/2013,54.21,20.02
1/22/2013,53.37,19.9
1/23/2013,53.38,20.11
1/24/2013,55.19,20.44
1/25/2013,56.53,20.37
1/28/2013,55.95,20.31
1/29/2013,55.66,19.7
1/30/2013,55.78,20.12
1/31/2013,55.97,19.63
2/1/2013,57.21,19.76
2/4/2013,55.69,19.34
2/5/2013,56.42,19.66
2/6/2013,56.11,19.85
2/7/2013,56.13,20.32
2/8/2013,56.62,20.5
2/11/2013,56.41,20.9
2/12/2013,56.78,21.21
2/13/2013,57.05,21.15
2/14/2013,56.83,21.18
2/15/2013,56.7,21.02
2/19/2013,56.68,21.29
2/20/2013,55.53,20.92
2/21/2013,54.62,20.83
2/22/2013,55.02,21.22
2/25/2013,53.61,20.73
2/26/2013,53.82,20.76
2/27/2013,54.15,21.16
2/28/2013,54.71,21.31
3/1/2013,54.9,21.94
3/4/2013,55.48,22.7
3/5/2013,55.26,22.95
3/6/2013,53.57,22.8
3/7/2013,52.98,22.7
3/8/2013,53.13,22.9
3/11/2013,52.76,22.6
3/12/2013,52.96,22.4
3/13/2013,50.98,22.34
3/14/2013,51.8,22.43
3/15/2013,50.41,22.07
3/18/2013,50.11,22.01
3/19/2013,51.1,22.17
3/20/2013,52.42,22.1
3/21/2013,52.92,22.86
3/22/2013,53.27,23.26
3/25/2013,51.31,23.38
3/26/2013,52.09,23.59
3/27/2013,52.07,23.59
3/28/2013,54.22,23.53
4/1/2013,55.71,23.5
4/2/2013,56.16,23.78
4/3/2013,55.5,23.38
4/4/2013,55.79,23.52
4/5/2013,55.52,23.3
4/8/2013,55.87,23.48
4/9/2013,56.07,23.83
4/10/2013,57.3,24.2
4/11/2013,57.78,24.49
4/12/2013,57.31,24.69
4/15/2013,55.84,23.98
4/16/2013,57.01,23.79
4/17/2013,56.1,23.7
4/18/2013,52.82,23.26
4/19/2013,52.39,23.47
4/22/2013,51.63,23.95
4/23/2013,52.49,24.38
